x1	x2	x3	y
0	2,50	0,00	0,086
0	2,50	15,00	11,903
0	2,50	30,00	19,256
0	2,50	45,00	21,889
0	4,00	0,00	0,224
0	4,00	15,00	30,189
0	4,00	30,00	46,284
0	4,00	45,00	57,61
0	5,00	0,00	0,366
0	5,00	15,00	35,654
0	5,00	30,00	87,218
0	5,00	45,00	87,991
0	6,00	0,00	0,55
0	6,00	15,00	61,541
0	6,00	30,00	119,428
0	6,00	45,00	127,289
5	2,50	0,00	0,05
5	2,50	15,00	6,996
5	2,50	30,00	19,116
5	2,50	45,00	13,026
5	4,00	0,00	0,132
5	4,00	15,00	20,437
5	4,00	30,00	47,445
5	4,00	45,00	33,852
5	5,00	0,00	0,208
5	5,00	15,00	26,466
5	5,00	30,00	67,394
5	5,00	45,00	52,482
5	6,00	0,00	0,3
5	6,00	15,00	36,707
5	6,00	30,00	96,682
5	6,00	45,00	77,616
